Code,Name,Market,Close,Change,Volume,Amount,UpdatedAt
005930,삼성전자,KOSPI,186200,4.37,20194447,3744696012200,2026-04-04 21:27
000660,SK하이닉스,KOSPI,876000,5.54,2927164,2564699182000,2026-04-04 21:27
005935,삼성전자우,KOSPI,124400,4.89,1817737,223413104800,2026-04-04 21:27
005380,현대차,KOSPI,471000,1.18,659219,311857711750,2026-04-04 21:27
373220,LG에너지솔루션,KOSPI,398500,-1.48,254074,102126942000,2026-04-04 21:27
012450,한화에어로스페이스,KOSPI,1449000,2.26,193653,280459555500,2026-04-04 21:27
207940,삼성바이오로직스,KOSPI,1554000,-1.96,27956,43864780500,2026-04-04 21:27
402340,SK스퀘어,KOSPI,483000,2.88,457740,219101193264,2026-04-04 21:27
034020,두산에너빌리티,KOSPI,96600,3.21,2522536,243449840350,2026-04-04 21:27
000270,기아,KOSPI,150200,-0.27,508389,77008078150,2026-04-04 21:27
105560,KB금융,KOSPI,145500,-0.68,543104,79643562000,2026-04-04 21:27
329180,HD현대중공업,KOSPI,479500,9.23,743866,352588174000,2026-04-04 21:27
068270,셀트리온,KOSPI,195300,-0.71,289560,56966586200,2026-04-04 21:27
032830,삼성생명,KOSPI,221000,1.84,141907,31538178750,2026-04-04 21:27
055550,신한지주,KOSPI,91800,0.11,558564,51717539000,2026-04-04 21:27
028260,삼성물산,KOSPI,263000,-0.38,259592,68796059750,2026-04-04 21:27
042660,한화오션,KOSPI,128000,7.29,1301116,163755933050,2026-04-04 21:27
006400,삼성SDI,KOSPI,438500,-1.02,692098,305137908500,2026-04-04 21:27
012330,현대모비스,KOSPI,388500,-0.26,163868,63997647750,2026-04-04 21:27
006800,미래에셋증권,KOSPI,63100,2.44,2222259,141298775750,2026-04-04 21:27
009150,삼성전기,KOSPI,456000,9.35,831535,376527518000,2026-04-04 21:27
267260,HD현대일렉트릭,KOSPI,883000,0.11,82110,73070600500,2026-04-04 21:27
035420,NAVER,KOSPI,197500,0.87,659137,130487290300,2026-04-04 21:27
010130,고려아연,KOSPI,1484000,1.09,12292,18238659500,2026-04-04 21:27
086790,하나금융지주,KOSPI,109700,-0.63,517249,57374676850,2026-04-04 21:27
005490,POSCO홀딩스,KOSPI,347500,1.91,351485,123947012750,2026-04-04 21:27
009540,HD한국조선해양,KOSPI,375000,6.99,267498,100153492000,2026-04-04 21:27
015760,한국전력,KOSPI,40300,-2.3,3757544,151869738250,2026-04-04 21:27
272210,한화시스템,KOSPI,135400,4.8,1927511,260424754550,2026-04-04 21:27
042700,한미반도체,KOSPI,260000,1.56,528858,136548903250,2026-04-04 21:27
010140,삼성중공업,KOSPI,27900,3.72,4444306,123836170025,2026-04-04 21:27
298040,효성중공업,KOSPI,2560000,1.67,27157,70348595000,2026-04-04 21:27
316140,우리금융지주,KOSPI,31950,-0.78,909257,29350565000,2026-04-04 21:27
010120,LS ELECTRIC,KOSPI,769000,1.32,98960,76373413500,2026-04-04 21:27
064350,현대로템,KOSPI,210000,4.22,985634,204537175750,2026-04-04 21:27
034730,SK,KOSPI,312500,1.46,96903,30377385750,2026-04-04 21:27
051910,LG화학,KOSPI,304500,0.83,241336,73514562000,2026-04-04 21:27
000810,삼성화재,KOSPI,441500,-0.56,32630,14573921750,2026-04-04 21:27
035720,카카오,KOSPI,45200,-0.44,1076743,48918857675,2026-04-04 21:27
096770,SK이노베이션,KOSPI,118200,2.34,307161,35929260150,2026-04-04 21:27
196170,알테오젠,KOSDAQ,365500,3.84,434877,160906979750,2026-04-04 21:27
267250,HD현대,KOSPI,245000,1.24,101111,24793955000,2026-04-04 21:27
086520,에코프로,KOSDAQ,141500,-0.63,827157,117700532350,2026-04-04 21:27
138040,메리츠금융지주,KOSPI,112300,0.54,198363,22304158950,2026-04-04 21:27
079550,LIG넥스원,KOSPI,860000,9.69,946418,796329678000,2026-04-04 21:27
011200,HMM,KOSPI,20050,-0.5,555280,11205467650,2026-04-04 21:27
247540,에코프로비엠,KOSDAQ,192600,-2.18,470485,91144090200,2026-04-04 21:27
003670,포스코퓨처엠,KOSPI,211500,-0.7,394229,83150070250,2026-04-04 21:27
033780,KT&G,KOSPI,156300,1.1,306643,48126233150,2026-04-04 21:27
047810,한국항공우주,KOSPI,182600,-0.87,588024,108414138100,2026-04-04 21:27
066570,LG전자,KOSPI,108300,-0.46,439721,47930153450,2026-04-04 21:27
017670,SK텔레콤,KOSPI,80900,3.98,667043,53500682200,2026-04-04 21:27
000150,두산,KOSPI,1071000,4.9,50235,52692609000,2026-04-04 21:27
024110,기업은행,KOSPI,21350,-1.39,694072,14923054475,2026-04-04 21:27
000720,현대건설,KOSPI,151100,1.55,840917,127548253400,2026-04-04 21:27
086280,현대글로비스,KOSPI,210000,-0.71,158548,33214807000,2026-04-04 21:27
000250,삼천당제약,KOSDAQ,648000,6.4,621768,388391040000,2026-04-04 21:27
030200,KT,KOSPI,59500,0.17,312219,19148835720,2026-04-04 21:27
047050,포스코인터내셔널,KOSPI,85100,7.04,1805281,150529526100,2026-04-04 21:27
003550,LG,KOSPI,86500,2.0,178655,15510513850,2026-04-04 21:27
010950,S-Oil,KOSPI,111400,4.6,467871,51001171500,2026-04-04 21:27
0126Z0,삼성에피스홀딩스,KOSPI,498000,0.91,23793,11934148000,2026-04-04 21:27
278470,에이피알,KOSPI,327000,-3.68,152760,50628429000,2026-04-04 21:27
071050,한국금융지주,KOSPI,212000,-0.7,194393,41284275750,2026-04-04 21:27
018260,삼성에스디에스,KOSPI,152200,1.06,102685,15654418600,2026-04-04 21:27
352820,하이브,KOSPI,270000,0.56,287079,77522795500,2026-04-04 21:27
259960,크래프톤,KOSPI,243500,-1.62,68117,16803427250,2026-04-04 21:27
005830,DB손해보험,KOSPI,162000,-0.12,98811,16138395670,2026-04-04 21:27
